Year,Rd1,Rd2,Rd3,Rd4,Rd5,Rd6,Rd7,Rd8,Rd9,Rd10
1984,24,23,23,23,23,23,23,22,22,22
1985,24,23,23,23,23,23,23,,,
1986,24,23,23,23,23,23,23,,,
1987,23,23,23,23,22,24,23,,,
1988,25,25,25,,,,,,,
1989,27,27,,,,,,,,
1990,27,27,,,,,,,,
1991,27,27,,,,,,,,
1992,27,27,,,,,,,,
1993,27,27,,,,,,,,
1994,27,27,,,,,,,,
1995,29,29,,,,,,,,
1996,29,29,,,,,,,,
1997,28,29,,,,,,,,
1998,29,29,,,,,,,,
1999,29,29,,,,,,,,
2000,29,29,,,,,,,,
2001,28,29,,,,,,,,
2002,28,29,,,,,,,,
2003,29,29,,,,,,,,
2004,29,30,,,,,,,,
2005,30,30,,,,,,,,
2006,30,30,,,,,,,,
2007,30,30,,,,,,,,
2008,30,30,,,,,,,,
2009,30,30,,,,,,,,
2010,30,30,,,,,,,,
2011,30,30,,,,,,,,
2012,30,30,,,,,,,,
2013,30,30,,,,,,,,
2014,30,30,,,,,,,,
2015,30,30,,,,,,,,
2016,30,30,,,,,,,,
